 #        t           S        I       R
  0.339000000E+02  0.131096973E+02  0.122019754E+03  0.864870549E+03
  0.340000000E+02  0.130303290E+02  0.120884609E+03  0.866085062E+03
  0.341000000E+02  0.129521730E+02  0.119759553E+03  0.867288274E+03
  0.342000000E+02  0.128752069E+02  0.118644507E+03  0.868480286E+03
  0.343000000E+02  0.127994085E+02  0.117539394E+03  0.869661198E+03
  0.344000000E+02  0.127247563E+02  0.116444137E+03  0.870831107E+03
  0.345000000E+02  0.126512292E+02  0.115358658E+03  0.871990113E+03
  0.346000000E+02  0.125788066E+02  0.114282881E+03  0.873138313E+03
  0.347000000E+02  0.125074684E+02  0.113216729E+03  0.874275803E+03
  0.348000000E+02  0.124371947E+02  0.112160126E+03  0.875402679E+03
  0.349000000E+02  0.123679663E+02  0.111112997E+03  0.876519037E+03
  0.350000000E+02  0.122997643E+02  0.110075265E+03  0.877624970E+03
  0.351000000E+02  0.122325702E+02  0.109046857E+03  0.878720573E+03
  0.352000000E+02  0.121663660E+02  0.108027696E+03  0.879805938E+03
  0.353000000E+02  0.121011339E+02  0.107017708E+03  0.880881158E+03
  0.354000000E+02  0.120368567E+02  0.106016821E+03  0.881946323E+03
  0.355000000E+02  0.119735174E+02  0.105024958E+03  0.883001524E+03
  0.356000000E+02  0.119110994E+02  0.104042049E+03  0.884046852E+03
  0.357000000E+02  0.118495865E+02  0.103068019E+03  0.885082395E+03
  0.358000000E+02  0.117889628E+02  0.102102796E+03  0.886108241E+03
  0.359000000E+02  0.117292128E+02  0.101146307E+03  0.887124480E+03
  0.360000000E+02  0.116703212E+02  0.100198482E+03  0.888131197E+03
  0.361000000E+02  0.116122730E+02  0.992592489E+02  0.889128478E+03
  0.362000000E+02  0.115550538E+02  0.983285363E+02  0.890116410E+03
  0.363000000E+02  0.114986492E+02  0.974062739E+02  0.891095077E+03
  0.364000000E+02  0.114430451E+02  0.964923916E+02  0.892064563E+03
  0.365000000E+02  0.113882280E+02  0.955868196E+02  0.893024952E+03
  0.366000000E+02  0.113341842E+02  0.946894886E+02  0.893976327E+03
  0.367000000E+02  0.112809008E+02  0.938003297E+02  0.894918769E+03
  0.368000000E+02  0.112283648E+02  0.929192745E+02  0.895852361E+03
  0.369000000E+02  0.111765635E+02  0.920462548E+02  0.896777182E+03
  0.370000000E+02  0.111254846E+02  0.911812030E+02  0.897693312E+03
  0.371000000E+02  0.110751160E+02  0.903240519E+02  0.898600832E+03
